Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,County,Judgeid
ADAM E JACOBS,RESIST ARR/ELUD-AFTER INSTRUCT,36.75,4,147,85,0,36.0867011515323,31,0,21,4,84,36,12,10.3923048454133,18,18,PAS,
ADAM E JACOBS,RESIST ARR/ELUD-CAUSE RISK OF,0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,PAS,
ADAM E JACOBS,RESIST ARR/ELUD-FLIGHT PREVENT,136.5,4,546,365,0,174.601450929443,90.5,0,6,4,24,12,0,6.92820323027551,6,0,PAS,
ADAM E JACOBS,RESIST ARR/ELUD-MV OP- RISK OF,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,RESIST ARR/ELUD-USE/THREATEN F,262,2,524,386,138,175.362481734264,262,138,12,2,24,24,0,16.9705627484771,12,0,PAS,
ADAM E JACOBS,ROBBERY-INFLICTS BI OR USES FO,2068.33333333333,6,12410,2920,1095,639.184376112767,2007.5,1825,0,6,0,0,0,0,0,0,PAS,
ADAM E JACOBS,ROBBERY-THREAT OR FEAR OF BI,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,ROBBERY-THREAT OR FEAR OF BI -,2005,1,2005,2005,2005,,2005,2005,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,SEXUAL ASSAULT-VIC < 13 & DEF,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,SHOPLIFTING-TAKE MERCH W/O PAY,109.8,5,549,189,0,82.7689555328566,131,0,16.8,5,84,24,12,5.01996015920445,18,12,PAS,
ADAM E JACOBS,SHOPLIFTING-TAKE MERCH W/OUT P,109,2,218,128,90,26.8700576850888,109,90,18,2,36,36,0,25.4558441227157,18,0,PAS,
ADAM E JACOBS,SIMPLE ASSAULT-PURPOSELY/KNOWI,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,PAS,
ADAM E JACOBS,SPECIAL SENTENCE PSL/CSL - VIO,7,1,7,7,7,,7,7,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,TERRORISTIC THREATS-THREAT TO,598.5,4,2394,1095,77,573.672089844596,611,1095,18,4,72,60,0,28.5657137141714,6,0,PAS,
ADAM E JACOBS,THEFT BY DECEPTION-VALUE $500-,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,THEFT BY UNLAWFL TAKNG-MOVABLE,136.6875,16,2187,1095,0,285.70561043377,0,0,16.125,16,258,60,0,14.6509385364897,12,12,PAS,
ADAM E JACOBS,THEFT BY UNLAWFUL TAKNG-MOVABL,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,THROWING BODILY FLUID AT LAW E,16,2,32,32,0,22.6274169979695,16,0,15,2,30,18,12,4.24264068711929,15,12,PAS,
ADAM E JACOBS,UNAUTHORIZED PRACTICE OF LAW-E,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,UNLAWFUL POSS WEAP - OTHER WEA,12.6666666666667,6,76,73,0,29.5815257663743,0,0,10,6,60,18,0,8.19756061276768,12,0,PAS,
ADAM E JACOBS,UNLAWFUL POSS WEAPON - HANDGUN,0,2,0,0,0,0,0,0,24,2,48,36,12,16.9705627484771,24,12,PAS,
ADAM E JACOBS,UNLAWFUL POSS WEAPON-HANDGUNS,1549.0625,16,24785,1825,1095,335.162740321773,1825,1825,0,16,0,0,0,0,0,0,PAS,
ADAM E JACOBS,UNLAWFUL POSSESSION OF WEAPONS,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,PAS,
ADAM E JACOBS,USE/POSS W/INTENT TO USE DRUG,0,1,0,0,0,,0,0,12,1,12,12,12,,12,12,PAS,
ADAM E JACOBS,VIOLATION OF FIREARMS REGULATI,48.5,4,194,96,0,54.8543526076099,49,96,13.5,4,54,18,12,3,12,12,PAS,
ADAM E JACOBS,WANDERING/PROWLING TO OBTAIN/S,15.6666666666667,6,94,84,0,33.7144874893074,0,0,2,6,12,12,0,4.89897948556636,0,0,PAS,
ALBERTO RIVAS,AGG ASSAULT - ON DOMESTIC VIOL,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,AGG ASSAULT-ATTEMPT/CAUSE SIGN,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,CDS/ANALOG - DISTRIBUTE ON/NEA,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,CRIMINAL TRESPASS-RESEARCH FAC,360,1,360,360,360,,360,360,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,RECEIVNG STOLEN PROP-KNOW PROP,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,THEFT BY UNLAWFL TAKNG-MOVABLE,360,1,360,360,360,,360,360,0,1,0,0,0,,0,0,MID,
ALBERTO RIVAS,UNLAWFUL POSS WEAPON-HANDGUNS,821.25,4,3285,1095,0,547.5,1095,1095,12,4,48,48,0,24,0,0,MID,
ALBERTO RIVAS,UNLAWFUL POSSESSION OF WEAPONS,729.5,2,1459,1095,364,516.895057047366,729.5,364,30,2,60,60,0,42.4264068711929,30,0,MID,
ALFONSE CIFELLI,AGG ASSAULT - ON DOMESTIC VIOL,0,4,0,0,0,0,0,0,45,4,180,60,36,11.4891252930761,42,36,ESX,
ALFONSE CIFELLI,AGG ASSAULT - STRANGLE DOMESTI,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,AGG ASSAULT W/ FIREARM,540,1,540,540,540,,540,540,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,AGG ASSAULT-ATTEMPT/CAUSE BI W,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,AGG ASSAULT-ATTEMPT/CAUSE SBI,1581.66666666667,3,4745,1825,1460,210.732848254213,1460,1460,0,3,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,AGG ASSAULT-ATTEMPT/CAUSE SIGN,0,2,0,0,0,0,0,0,36,2,72,36,36,0,36,36,ESX,
ALFONSE CIFELLI,AGG ASSAULT-ON LAW ENFORCEMENT,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,AGG ASSLT SBI,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,AGG ASSLT W/DW-BI,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,AGG SEX ASSLT-<13 YRS.,2555,1,2555,2555,2555,,2555,2555,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,ASSAULT BY AUTO/VESSEL SBI VIO,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,BURGLARY-ENTERING STRUCTURE ET,182.4,10,1824,1460,0,463.249200994694,0,0,27.6,10,276,48,0,16.0499221181911,36,36,ESX,
ALFONSE CIFELLI,BURGLARY-NO BI AND/OR UNARMED,0,1,0,0,0,,0,0,48,1,48,48,48,,48,48,ESX,
ALFONSE CIFELLI,CDS - MANU/DIST/PWID - HEROIN/,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,CDS - MANU/DIST/PWID - MARIJ<1,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,CDS-UNDER INFLUENCE W/O PRESCR,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,CDS/ANALOG - DISTRIBUTE ON/NEA,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,CERT PERSON NOT TO HAVE WEAP P,1825,1,1825,1825,1825,,1825,1825,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,CONSPIRACY,10950,1,10950,10950,10950,,10950,10950,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,CONSPIRACY - AGREE/ENGAGE IN C,0,5,0,0,0,0,0,0,36,5,180,36,36,0,36,36,ESX,
ALFONSE CIFELLI,CONTEMPT - VIOLATE DV ORDER BY,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,CONTEMPT-VIOLATE JUDICIAL/REST,0,2,0,0,0,0,0,0,54,2,108,60,48,8.48528137423857,54,48,ESX,
ALFONSE CIFELLI,CRIMINAL MISCHIEF-DAMAGE PROPE,0,3,0,0,0,0,0,0,20,3,60,36,0,18.3303027798234,24,0,ESX,
ALFONSE CIFELLI,CRIMINAL TRESPASS,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,CRIMINAL TRESPASS-DEFIANT TRES,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,DISORDERLY CONDUCT,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,DISORDERLY CONDUCT BY IMPROPER,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,DISORDERLY CONDUCT-IMPROP BEHA,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,DISORDERLY CONDUCT-OFFENSIVE L,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,FALSE REPRT TO LAW ENFOR-FICT,0,1,0,0,0,,0,0,48,1,48,48,48,,48,48,ESX,
ALFONSE CIFELLI,HARASSMENT,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,MANUF/DISTR CDS OR INTENT TO M,510.6,5,2553,1825,0,756.976749973208,364,0,30,5,150,60,0,26.153393661244,36,0,ESX,
ALFONSE CIFELLI,MONEY LAUNDERING-TRANSP/POSSES,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,OBSTRUCT ADMIN OF LAW-OBSTRUCT,0,2,0,0,0,0,0,0,30,2,60,60,0,42.4264068711929,30,0,ESX,
ALFONSE CIFELLI,"POSS CDS - > 50G MARIJUANA, 5G",0,1,0,0,0,,0,0,48,1,48,48,48,,48,48,ESX,
ALFONSE CIFELLI,POSS CDS-FAILS TO GIVE CDS TO,22.75,16,364,364,0,91,0,0,5.25,16,84,36,0,9.76729235765983,0,0,ESX,
ALFONSE CIFELLI,POSS CDS/ANALOG - SCHD I II II,76.7894736842105,19,1459,1095,0,260.286717752936,0,0,33.1578947368421,19,630,48,0,9.87287618733904,36,36,ESX,
ALFONSE CIFELLI,POSS OF WEAPON FOR UNLAWFUL PU,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,ESX,
ALFONSE CIFELLI,POSS/DIST WITHIN 500 FT CERTAI,1460,1,1460,1460,1460,,1460,1460,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,POSSESS GAMBLING DEVICE,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,ESX,
ALFONSE CIFELLI,POSSESSION OF FIREARM WHILE CO,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,PROHIBITED WEAPONS AND DEVICES,730,2,1460,1460,0,1032.37590053236,730,0,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,RECEIVING STOLEN PROPERTY-VALU,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,RESIST ARR/ELUD-AFTER INSTRUCT,0,3,0,0,0,0,0,0,36,3,108,36,36,0,36,36,ESX,
ALFONSE CIFELLI,RESIST ARR/ELUD-FLIGHT PREVENT,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,ESX,
ALFONSE CIFELLI,RESIST ARR/ELUD-MV OP- RISK OF,1825,2,3650,1825,1825,0,1825,1825,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,RESIST ARR/ELUD-PREVENTS OFFIC,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,RESIST ARR/ELUD-USE/THREATEN F,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,ESX,
ALFONSE CIFELLI,ROBBERY-BI,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,ROBBERY-INFLICTS BI OR USES FO,1095,1,1095,1095,1095,,1095,1095,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,SHOPLIFTING-TAKE MERCH W/O PAY,0,1,0,0,0,,0,0,60,1,60,60,60,,60,60,ESX,
ALFONSE CIFELLI,SIMPLE ASSAULT-BODILY INJURY/P,0,5,0,0,0,0,0,0,2.4,5,12,12,0,5.3665631459995,0,0,ESX,
ALFONSE CIFELLI,SIMPLE ASSAULT-PURPOSELY/KNOWI,0,11,0,0,0,0,0,0,9.81818181818182,11,108,24,0,9.40019342160768,12,0,ESX,
ALFONSE CIFELLI,SMOKING IN PROHIBITED PUBLIC P,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,SPECIAL SENTENCE PSL/CSL - VIO,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,TAMPER W/PUB RECS-USE/FILE FAL,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,TERRORISTIC THREATS-THREAT TO,365,3,1095,1095,0,632.19854476264,0,0,24,3,72,36,0,20.7846096908265,36,36,ESX,
ALFONSE CIFELLI,TERRORISTIC THREATS-THREATEN I,0,2,0,0,0,0,0,0,48,2,96,60,36,16.9705627484771,48,36,ESX,
ALFONSE CIFELLI,THEFT BY DECEPTION-VALUE $500-,0,1,0,0,0,,0,0,48,1,48,48,48,,48,48,ESX,
ALFONSE CIFELLI,THEFT BY DECEPTION-VALUE LESS,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,THEFT BY UNLAWFUL TAKNG-MOVABL,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,THEFT OF PROP LOST/MISLAID/ETC,0,1,0,0,0,,0,0,36,1,36,36,36,,36,36,ESX,
ALFONSE CIFELLI,THEFT OF SERVCS-KNOW SERVCS CO,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,THROWING BODILY FLUID AT LAW E,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,UNLAWFUL POSS WEAPON-HANDGUNS,1825,2,3650,1825,1825,0,1825,1825,0,2,0,0,0,0,0,0,ESX,
ALFONSE CIFELLI,UNLAWFUL TAKING OF A MEANS OF,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALFONSE CIFELLI,WANDER/REMAIN/PROWL IN PUBLIC,0,13,0,0,0,0,0,0,0.923076923076923,13,12,12,0,3.32820117735138,0,0,ESX,
ALFONSE CIFELLI,WANDERING/PROWLING TO OBTAIN/S,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALVIN LITTLE,AGG ASSAULT - ON DOMESTIC VIOL,77.5,2,155,155,0,109.601551083915,77.5,0,30,2,60,36,24,8.48528137423857,30,24,ESX,
ALVIN LITTLE,AGG ASSAULT W/ FIREARM,540,1,540,540,540,,540,540,0,1,0,0,0,,0,0,ESX,
ALVIN LITTLE,AGG ASSAULT-ATTEMPT/CAUSE BI W,0,3,0,0,0,0,0,0,13,3,39,24,0,12.1243556529821,15,0,ESX,
ALVIN LITTLE,AGG ASSAULT-ATTEMPT/CAUSE SIGN,0,4,0,0,0,0,0,0,17.5,4,70,30,0,13,20,0,ESX,
ALVIN LITTLE,AGG ASSAULT-ON LAW ENFORCEMENT,270,2,540,540,0,381.837661840736,270,0,9,2,18,18,0,12.7279220613579,9,0,ESX,
ALVIN LITTLE,BURGLARY-ENTERING STRUCTURE ET,0,6,0,0,0,0,0,0,22,6,132,27,15,4.51663591625449,24,24,ESX,
ALVIN LITTLE,CDS - MANU/DIST/PWID - HEROIN/,0,1,0,0,0,,0,0,18,1,18,18,18,,18,18,ESX,
ALVIN LITTLE,CONTEMPT - VIOLATE DOMESTIC VI,0,6,0,0,0,0,0,0,21,6,126,24,6,7.34846922834953,24,24,ESX,
ALVIN LITTLE,CONTEMPT - VIOLATE DV ORDER BY,0,3,0,0,0,0,0,0,22,3,66,24,18,3.46410161513775,24,24,ESX,
ALVIN LITTLE,CONTEMPT-VIOLATE JUDICIAL/REST,365,1,365,365,365,,365,365,0,1,0,0,0,,0,0,ESX,
ALVIN LITTLE,CRIMINAL MISCHIEF-DAMAGE PROPE,547.5,2,1095,1095,0,774.28192539927,547.5,0,7.5,2,15,15,0,10.6066017177982,7.5,0,ESX,
ALVIN LITTLE,CRIMINAL TRESPASS-STRUCT OTHER,0,1,0,0,0,,0,0,24,1,24,24,24,,24,24,ESX,
ALVIN LITTLE,DISORDERLY CONDUCT-IMPROP BEHA,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALVIN LITTLE,DISORDERLY CONDUCT-OFFENSIVE L,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALVIN LITTLE,ESCAPE-FROM DETENTION,0,1,0,0,0,,0,0,30,1,30,30,30,,30,30,ESX,
ALVIN LITTLE,FORGERY-UTTER FORGED DOCS-GOV,0,1,0,0,0,,0,0,15,1,15,15,15,,15,15,ESX,
ALVIN LITTLE,HARASSMENT-COMMUNICATION IN MA,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,ESX,
ALVIN LITTLE,HARASSMENT-STRIKING/OFFENSIVE,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
ALVIN LITTLE,HINDERING-ONESELF-HIDE/SUPPRES,0,1,0,0,0,,0,0,0,1,0,0,0,,0,0,ESX,
