County,Offense,AverageIncarcerationLength,TotalCasesYear,TotalIncarcerationAmount,MaxSentence,MinSentence,StdDevSentence,MedianSentence,ModeSentence,AverageProbation,TotalProbationInstances,TotalProbationMonthSum,MaxProbation,MinProbation,StdDevProbation,MedianProbation,ModeProbation,ID
ATL,AGG ASSAULT-ON PAID/VOLUNTEER,365.0,1,365,365,365,,365.0,365,0.0,1,0,0,0,,0.0,0,18
ATL,AGG ASSLT SBI,365.0,3,1095,1095,0,632.1985447626403,0.0,0,4.0,3,12,12,0,6.928203230275509,0.0,0,19
ATL,AGG SEX ASSAULT-DURING ROBBERY,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,20
ATL,AGG SEX ASSAULT-V >=13 & < 16-,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,21
ATL,"AGG SEX ASSAULT-V HELPLESS, IN",5110.0,1,5110,5110,5110,,5110.0,5110,0.0,1,0,0,0,,0.0,0,22
ATL,AGG SEX ASSAULT-V>=13 & <16-D,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,23
ATL,AGGRAVATED CRIMINAL SEXUAL CON,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,24
ATL,AGGRAVATED MANSLAUGHTER-EXTREM,6281.8421052631575,19,119355,14600,3285,2823.5552896453455,5475.0,3650,0.0,19,0,0,0,0.0,0.0,0,25
ATL,AGGRAVATED SEXUAL ASSAULT - VI,3695.0,4,14780,5475,2735,1250.6864781657578,3285.0,2735,0.0,4,0,0,0,0.0,0.0,0,26
ATL,ARSON-RECKLESS DANGER OF DEATH,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,27
ATL,ARSON-RECKLESS DANGER TO BLDG/,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,28
ATL,ASSAULT BY AUTO/VESSEL BI VIOL,45.0,10,450,270,0,87.46427842267951,0.0,0,20.4,10,204,60,0,18.804254837669053,24.0,24,29
ATL,ASSAULT BY AUTO/VESSEL SBI VIO,136.875,8,1095,1095,0,387.14096269963477,0.0,0,28.5,8,228,60,0,25.606918707925125,36.0,0,30
ATL,ASSAULT BY AUTO/VESSEL-RECKLES,0.0,3,0,0,0,0.0,0.0,0,32.0,3,96,60,12,24.979991993593593,24.0,12,31
ATL,"BAD CHECKS-VALUE $1,000-<$75,0",0.0,7,0,0,0,0.0,0.0,0,27.428571428571427,7,192,60,0,20.45203447791232,36.0,36,32
ATL,"BAD CHECKS-VALUE $200-<$1,000",0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,33
ATL,"BAD CHECKS-VALUE $75,000+",0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,34
ATL,BAD CHECKS-VALUE <$200,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,35
ATL,BAIL JUMPING - UNDERLYING OFFE,540.0,1,540,540,540,,540.0,540,0.0,1,0,0,0,,0.0,0,36
ATL,BAIL JUMPING -UNDERLYING OFFEN,1825.0,3,5475,2190,1460,365.0,1825.0,1460,0.0,3,0,0,0,0.0,0.0,0,37
ATL,BIAS INTIMIDATION-UNDERLYING O,1825.0,2,3650,1825,1825,0.0,1825.0,1825,0.0,2,0,0,0,0.0,0.0,0,38
ATL,BRIBERY - PUB. SERV/PARTY OFF,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,39
ATL,BURGLARY,90.0,1,90,90,90,,90.0,90,60.0,1,60,60,60,,60.0,60,40
ATL,BURGLARY-ENTERING STRUCTURE ET,453.811320754717,265,120260,2190,0,674.4597067901655,30.0,0,28.547169811320753,265,7565,60,0,27.0537946406727,24.0,0,41
ATL,BURGLARY-INFLICT/ATTEMPT TO IN,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,42
ATL,BURGLARY-NO BI AND/OR UNARMED,581.3,10,5813,1825,0,663.7939857783856,364.0,0,0.0,10,0,0,0,0.0,0.0,0,43
ATL,BURGLARY-REMAIN IN STRUCTURE E,610.4166666666666,12,7325,1825,0,712.6310352659659,180.0,0,30.0,12,360,60,0,28.718065267828763,30.0,0,44
ATL,BURGLARY-TRESPASS ON UTILITY C,180.0,1,180,180,180,,180.0,180,60.0,1,60,60,60,,60.0,60,45
ATL,CALLING 911 WITHOUT NEEDING 91,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,46
ATL,CASINO CONTROL ACT-CERTAIN PER,123.3157894736842,38,4686,540,0,170.81982055752732,0.0,0,6.315789473684211,38,240,60,0,15.467673811652155,0.0,0,47
ATL,CASINO CONTROL ACT-SWINDLE/CHE,120.0,3,360,180,0,103.92304845413264,180.0,180,40.0,3,120,60,0,34.64101615137755,60.0,60,48
ATL,CAUSES CHILD HARM THAT MAKES C,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,49
ATL,CAUSING DEATH WHILE DRIVING W/,7.0,4,28,28,0,14.0,0.0,0,27.0,4,108,60,0,24.73863375370596,24.0,24,50
ATL,CDS - MANU/DIST/PWID - HEROIN/,649.3185185185185,135,87658,2920,0,854.9867385883643,0.0,0,22.8,135,3078,60,0,26.69026319191572,0.0,0,51
ATL,CDS - MANU/DIST/PWID - MARIJ >,1460.0,2,2920,2920,0,2064.7518010647186,1460.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,52
ATL,CDS - MANU/DIST/PWID - MARIJ<1,468.5,4,1874,1095,97,462.6838373374775,341.0,97,0.0,4,0,0,0,0.0,0.0,0,53
ATL,CDS - MANU/DIST/PWID - MARIJ=/,682.1428571428571,7,4775,1825,0,875.9702104088982,30.0,0,20.571428571428573,7,144,60,0,28.324648528899953,0.0,0,54
ATL,CDS - MANU/DIST/PWID - METH -,312.27272727272725,11,3435,1825,0,663.2848695559233,0.0,0,43.63636363636363,11,480,60,0,28.025961989814828,60.0,60,55
ATL,CDS - MANU/DIST/PWID - OTHER S,588.4444444444445,9,5296,1825,0,783.3276950151691,180.0,0,26.666666666666668,9,240,60,0,24.576411454889016,36.0,0,56
ATL,CDS - MANU/DIST/PWID - SCHD I,623.3333333333334,12,7480,1825,0,653.3561375117267,637.5,0,20.916666666666668,12,251,60,0,25.166566325306686,5.5,0,57
ATL,CDS - MANU/DIST/PWID -MARI =/>,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,58
ATL,CDS-MANU/DIST/PWID-MARIJ=/>1OZ,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,24,12,8.48528137423857,18.0,12,59
ATL,CDS/ANALOG - DISTRIBUTE ON/NEA,578.75,32,18520,2555,0,874.1576590657007,0.0,0,29.0625,32,930,60,0,26.75930649084478,30.0,0,60
ATL,CERT PERSON NOT TO HAVE WEAP P,1923.1470588235295,34,65387,3650,0,532.6506691013516,1825.0,1825,1.0588235294117647,34,36,36,0,6.173949065130318,0.0,0,61
ATL,CERTAIN PERSONS NOT TO HAVE WE,225.33333333333334,3,676,540,0,280.8653295323816,136.0,0,4.0,3,12,12,0,6.928203230275509,0.0,0,62
ATL,CIRCULATE FALSE REPORT OF IMPE,417.0,7,2919,1460,0,611.8139695473889,0.0,0,20.571428571428573,7,144,60,0,22.677868380553633,24.0,0,63
ATL,COMMERICAL BRIBERY-OFFER BENEF,48.0,1,48,48,48,,48.0,48,48.0,1,48,48,48,,48.0,48,64
ATL,COMPUTER CRIME-ACCESS PURPOSE,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,65
ATL,COMPUTER CRIME-TAKE/COPY PERSO,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,66
ATL,CONSPIRACY,1066.625,8,8533,2190,0,902.8136870758156,1277.5,0,7.5,8,60,60,0,21.213203435596427,0.0,0,67
ATL,CONSPIRACY - AGREE/AID IN COND,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,68
ATL,CONSPIRACY - AGREE/ENGAGE AID,547.5,4,2190,1095,0,632.1985447626403,547.5,0,0.0,4,0,0,0,0.0,0.0,0,69
ATL,CONSPIRACY - AGREE/ENGAGE IN C,727.1774193548387,62,45085,5840,0,1146.1461801912535,60.0,0,19.548387096774192,62,1212,60,0,24.98634211800246,0.0,0,70
ATL,CONTEMPT - VIOLATE DOMESTIC VI,19.09090909090909,11,210,180,0,54.12107638518389,0.0,0,15.272727272727273,11,168,60,0,17.872274108746815,12.0,0,71
ATL,CONTEMPT - VIOLATE DV ORDER BY,212.33333333333334,30,6370,1095,0,319.6743314076367,15.0,0,18.4,30,552,60,0,20.6006360799018,12.0,0,72
ATL,CONTEMPT-VIOLATE JUDICIAL/REST,252.84615384615384,26,6574,1825,0,386.93210694463613,85.0,0,15.23076923076923,26,396,60,0,19.661755145068184,0.0,0,73
ATL,CONTRACTOR - MUST REGISTER DIV,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,74
ATL,CREDIT CARD CRIME-CRED CARD TH,20.0,9,180,180,0,60.0,0.0,0,10.666666666666666,9,96,60,0,22.0,0.0,0,75
ATL,CREDIT CARD CRIME-INT TO COMM,0.0,4,0,0,0,0.0,0.0,0,33.0,4,132,36,24,6.0,36.0,36,76
ATL,CREDIT CARD THEFT - FRAUDULENT,270.2121212121212,33,8917,1825,0,560.0843551184811,0.0,0,24.696969696969695,33,815,60,0,24.347079969275637,24.0,0,77
ATL,CRIMINAL ATTEMPT - PURPOSELY E,1995.6190476190477,21,41908,18250,0,4138.773302274364,364.0,0,13.714285714285714,21,288,60,0,22.541390500904903,0.0,0,78
ATL,CRIMINAL ATTEMPT-OMISSION STEP,37.0,1,37,37,37,,37.0,37,0.0,1,0,0,0,,0.0,0,79
ATL,CRIMINAL COERCION-THREAT INFLC,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,80
ATL,CRIMINAL MISCHIEF DAMAGE $500,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,81
ATL,CRIMINAL MISCHIEF-BREAK GAS/OI,288.0,5,1440,360,0,160.99689437998487,360.0,360,0.0,5,0,0,0,0.0,0.0,0,82
ATL,CRIMINAL MISCHIEF-DAMAGE PROPE,108.72881355932203,59,6415,1095,0,239.0900011255662,0.0,0,16.45762711864407,59,971,60,0,20.586505484551257,12.0,0,83
ATL,CRIMINAL MISCHIEF-ENDANGER-DAM,28.6,5,143,143,0,63.95154415649399,0.0,0,2.4,5,12,12,0,5.366563145999495,0.0,0,84
ATL,CRIMINAL MISCHIEF-ENDANGER-MOR,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,85
ATL,CRIMINAL MISCHIEF-IMPAIR PUBLI,782.1428571428571,7,5475,1825,0,772.2308438481826,1095.0,0,3.4285714285714284,7,24,24,0,9.071147352221454,0.0,0,86
ATL,CRIMINAL RESTRAINT - HOLD VIC,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,87
ATL,CRIMINAL RESTRAINT - RISK OF S,182.14285714285714,7,1275,1095,0,408.0834998589662,0.0,0,15.428571428571429,7,108,60,0,22.677868380553633,0.0,0,88
ATL,CRIMINAL SEXUAL CONTACT,296.375,8,2371,540,0,250.2284313525201,364.5,540,7.5,8,60,36,0,14.252819269985048,0.0,0,89
ATL,CRIMINAL TRESPASS-DEFIANT TRES,0.0,9,0,0,0,0.0,0.0,0,0.0,9,0,0,0,0.0,0.0,0,90
ATL,CRIMINAL TRESPASS-PEERING INTO,127.0,3,381,381,0,219.9704525612474,0.0,0,12.0,3,36,36,0,20.784609690826528,0.0,0,91
ATL,CRIMINAL TRESPASS-RESEARCH FAC,74.6470588235294,17,1269,540,0,170.03563640325174,0.0,0,34.588235294117645,17,588,60,0,27.78277079308643,48.0,60,92
ATL,CRIMINAL TRESPASS-STRUCT OTHER,74.18181818181819,11,816,349,0,131.0013879176997,0.0,0,7.636363636363637,11,84,36,0,12.322927633259292,0.0,0,93
ATL,CRUELTY & NEGLECT OF CHILDREN,12.0,15,180,90,0,31.667919774704856,0.0,0,26.8,15,402,60,0,19.09076066732656,24.0,36,94
ATL,CRUELTY TO ANIMALS-BOD INJ-FAI,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,95
ATL,CRUELTY TO ANIMALS-TORTURE/TOR,180.0,1,180,180,180,,180.0,180,36.0,1,36,36,36,,36.0,36,96
ATL,CYBER HARASS SEND/POST OBSCENE,45.0,2,90,90,0,63.63961030678928,45.0,0,30.0,2,60,60,0,42.42640687119285,30.0,0,97
ATL,DEFRAUD ADMIN OF DRUG TEST - C,592.0,4,2368,1095,0,585.3426347021034,636.5,1095,15.0,4,60,60,0,30.0,0.0,0,98
ATL,DISORDERLY CONDUCT-IMPROP BEHA,8.1,40,324,191,0,32.41778555843722,0.0,0,4.8,40,192,36,0,10.4542961356711,0.0,0,99
ATL,DISORDERLY CONDUCT-OFFENSIVE L,9.45,20,189,189,0,42.26168477474603,0.0,0,4.8,20,96,24,0,9.047244419100624,0.0,0,100
ATL,DIST/POSS CDS W/IN 500 FT PUBL,851.6666666666666,6,5110,2555,0,1049.4411211052607,547.5,0,30.0,6,180,60,0,32.863353450309965,30.0,0,101
ATL,DIST/POSS W/INT DIST 5 LBS MAR,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,102
ATL,DRUG-INDUCE DEATH - STRICT LIA,3650.0,2,7300,3650,3650,0.0,3650.0,3650,0.0,2,0,0,0,0.0,0.0,0,103
ATL,DRUG-INDUCED DEATH - STRICT LI,2737.5,2,5475,3650,1825,1290.4698756654493,2737.5,1825,0.0,2,0,0,0,0.0,0.0,0,104
ATL,ENDANGERING AN INJURED VICTIM,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,105
ATL,ENDANGERING ANOTHER-RECKLSSLY,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,106
ATL,ENDANGERING-ABUSE/NEGLECT OF A,144.97058823529412,34,4929,2920,0,528.5159603274585,0.0,0,37.23529411764706,34,1266,60,0,24.261278318927243,36.0,60,107
ATL,ENDANGERING-DISTRIBUTION CHILD,5475.0,1,5475,5475,5475,,5475.0,5475,0.0,1,0,0,0,,0.0,0,108
ATL,ENDANGERING-DISTRIBUTION OF CH,1898.0,5,9490,2920,1095,652.9318494299386,1825.0,1825,0.0,5,0,0,0,0.0,0.0,0,109
ATL,ENDANGERING-PERMIT CHILD TO EN,3650.0,1,3650,3650,3650,,3650.0,3650,0.0,1,0,0,0,,0.0,0,110
ATL,ENDANGERING-SEXUAL CONDUCT WIT,886.4285714285714,14,12410,2920,0,1039.4422109430182,547.5,0,0.0,14,0,0,0,0.0,0.0,0,111
ATL,ENDANGERING-STORE/MAINTAIN CHI,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,112
ATL,ESCAPE-FROM DETENTION,724.1428571428571,7,5069,1460,30,609.7732990140485,540.0,1460,17.142857142857142,7,120,60,0,29.277002188455995,0.0,0,113
ATL,FAILURE TO MAKE LAWFUL DISPOSI,51.666666666666664,3,155,155,0,89.489291724392,0.0,0,37.333333333333336,3,112,60,24,19.731531449264992,28.0,24,114
ATL,FALSE REPORT TO/W/IN ORG DEAL,637.5,2,1275,1275,0,901.5611460128481,637.5,0,30.0,2,60,60,0,42.42640687119285,30.0,0,115
ATL,FALSE REPRT TO LAW ENFOR-FICT,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,116
ATL,FALSE REPTS TO LAW ENFOR-FALSL,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,117
ATL,FIREWORKS VIOLATION POSSESSION,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,118
ATL,FORGERY-FALSE AUTH OF A WRITIN,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,119
ATL,FORGERY-UTTER FORGED DOCS-GOV,364.14285714285717,21,7647,1460,0,523.6267072747804,25.0,0,18.857142857142858,21,396,60,0,25.616958668596304,0.0,0,120
ATL,FORGERY-UTTER FORGED DOCS-OTHE,0.0,2,0,0,0,0.0,0.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0,121
ATL,FORGRY-ALT/CHNG WRIT W/O AUTH-,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,122
ATL,FORGRY-FALSE AUTH OF WRIT-GOV,311.15384615384613,13,4045,1460,0,591.9253677835079,0.0,0,22.153846153846153,13,288,60,0,23.922953252215585,24.0,0,123
ATL,HARASSMENT WHILE IMPRISONED OR,151.25,4,605,365,0,181.95122972928763,120.0,0,18.0,4,72,36,0,20.784609690826528,18.0,0,124
ATL,HARASSMENT-ANY OTHER ALARMING,0.0,8,0,0,0,0.0,0.0,0,7.5,8,60,36,0,12.727922061357855,0.0,0,125
ATL,HARASSMENT-COMMUNICATION IN MA,12.072727272727272,55,664,269,0,48.59464021102592,0.0,0,5.127272727272727,55,282,60,0,13.186770229700262,0.0,0,126
ATL,HARASSMENT-STRIKING/OFFENSIVE,0.0,3,0,0,0,0.0,0.0,0,22.0,3,66,24,18,3.4641016151377544,24.0,24,127
ATL,HINDERING APPREHENSION OR PROS,38.0,2,76,38,38,0.0,38.0,38,0.0,2,0,0,0,0.0,0.0,0,128
ATL,HINDERING-AID-UNDERLYING 3RD D,373.0,1,373,373,373,,373.0,373,0.0,1,0,0,0,,0.0,0,129
ATL,HINDERING-FALSE INFO-UNDERLYIN,65.77777777777777,9,592,180,0,69.6648723851874,40.0,0,16.0,9,144,60,0,26.153393661244042,0.0,0,130
ATL,HINDERING-GIVE FALSE INFORMATI,0.0,5,0,0,0,0.0,0.0,0,2.4,5,12,12,0,5.366563145999495,0.0,0,131
ATL,HINDERING-HIDE EVID-UNDERLYING,60.0,2,120,120,0,84.8528137423857,60.0,0,0.0,2,0,0,0,0.0,0.0,0,132
ATL,HINDERING-HIDE/SUPPRESS INFORM,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,133
ATL,HINDERING-ONESELF-FALS INFO-UN,486.6666666666667,3,1460,1460,0,842.9313930168536,0.0,0,28.0,3,84,60,0,30.199337741083,24.0,0,134
ATL,HINDERING-ONESELF-FORCE-UNDERL,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0,135
ATL,HINDERING-ONESELF-HIDE EVID UN,486.6666666666667,3,1460,1095,0,557.5467095529605,365.0,0,0.0,3,0,0,0,0.0,0.0,0,136
ATL,HINDERING-ONESELF-HIDE/SUPPRES,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,137
ATL,IDENTITY CRIME-IMPERSONATN-VAL,10.0,3,30,30,0,17.320508075688775,0.0,0,40.0,3,120,60,0,34.64101615137755,60.0,60,138
ATL,IDENTITY CRIME-REP SELF AS ANO,425.0,3,1275,1095,0,587.1754422657677,180.0,0,8.0,3,24,24,0,13.856406460551018,0.0,0,139
ATL,IMPERSONATE A LAW ENFORCEMENT,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,140
ATL,IMPERSONATE A PUBLIC SERVANT,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,141
ATL,INSURANCE FRAUD-FALSE CLAIM ET,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,142
ATL,INTERFER W/CUSTODY-TAKE CHILD,364.0,1,364,364,364,,364.0,364,0.0,1,0,0,0,,0.0,0,143
ATL,INVASION OF PRIVACY-DISCLOSE S,90.0,2,180,180,0,127.27922061357856,90.0,0,60.0,2,120,60,60,0.0,60.0,60,144
ATL,INVASION OF PRIVACY-OBSERVE SE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,145
ATL,INVASION OF PRIVACY-RECORD SEX,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,146
ATL,KNOW POSS/VIEW/CTRL <1K ITEMS,912.5,4,3650,2555,0,1210.568048479721,547.5,0,6.0,4,24,24,0,12.0,0.0,0,147
ATL,KNOWING LEAVING SCENE OF MV AC,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,148
ATL,KNOWINGLY EXHIBITING A FALSE G,281.25,4,1125,1095,0,542.6843004915473,15.0,0,30.0,4,120,60,0,34.64101615137755,30.0,0,149
ATL,LEADER OF NARCOTICS TRAFFICKIN,7300.0,1,7300,7300,7300,,7300.0,7300,0.0,1,0,0,0,,0.0,0,150
ATL,LEWDNESS - OBSERVED BY CHILD <,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,151
ATL,LEWDNESS - OBSERVED BY OTHERS,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,152
ATL,LEWDNESS - OBSERVED BY PERSON,113.0,1,113,113,113,,113.0,113,48.0,1,48,48,48,,48.0,48,153
ATL,LURE/ENTICE CHILD BY VARIOUS M,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,154
ATL,MAINTAIN NUISANCE-MAINT PLACE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,155
ATL,MAINTAINING/OPERATING CDS PROD,2591.0,5,12955,3650,1825,756.4588554574532,2190.0,2190,0.0,5,0,0,0,0.0,0.0,0,156
ATL,MANSLAUGHTER - COMMITTED RECKL,3650.0,2,7300,3650,3650,0.0,3650.0,3650,0.0,2,0,0,0,0.0,0.0,0,157
ATL,MANU/DIST/PWI SYNTHETIC CANNAB,0.0,3,0,0,0,0.0,0.0,0,60.0,3,180,60,60,0.0,60.0,60,158
ATL,MANUF/DISTR CDS OR INTENT TO M,653.3152542372882,295,192728,5110,0,939.3099248760224,0.0,0,22.359322033898305,295,6596,60,0,27.01447784326472,0.0,0,159
ATL,MANUFACTURE/PACKAGE IMITATION,374.0,1,374,374,374,,374.0,374,0.0,1,0,0,0,,0.0,0,160
ATL,MFD/D/D HEROIN/COKE >=5OZ 1ST,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,161
ATL,MFG/D/D HER/COKE>=.5OZ<5OZ 2ND,36.0,5,180,180,0,80.49844718999243,0.0,0,36.0,5,180,60,0,32.863353450309965,60.0,60,162
ATL,MFG/DIST/DIS HER/COKE<.5OZ-3RD,2190.0,1,2190,2190,2190,,2190.0,2190,0.0,1,0,0,0,,0.0,0,163
ATL,MONEY LAUNDERING-TRANSP/POSSES,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0,164
ATL,MUNICIPAL ORDINANCE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,165
ATL,MURDER - DURING COMMISSION OF,29200.0,1,29200,29200,29200,,29200.0,29200,0.0,1,0,0,0,,0.0,0,166
ATL,MURDER - KNOWINGLY,15330.0,1,15330,15330,15330,,15330.0,15330,0.0,1,0,0,0,,0.0,0,167
ATL,MURDER - PURPOSELY,15147.5,2,30295,16425,13870,1806.6578259316288,15147.5,13870,0.0,2,0,0,0,0.0,0.0,0,168
ATL,OBSTRUCT ADMIN OF LAW-OBSTRUCT,36.86363636363637,44,1622,540,0,111.21853428212717,0.0,0,12.409090909090908,44,546,60,0,18.5902177099455,0.0,0,169
ATL,OBSTRUCTING,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,170
ATL,OBTAIN/DISCLOSE PERSONAL INFOR,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,171
ATL,OBTAINING CDS/ANALOG BY FRAUD/,547.5,2,1095,1095,0,774.2819253992695,547.5,0,0.0,2,0,0,0,0.0,0.0,0,172
ATL,OPERATE MV DURING LICENSE SUSP,171.7,30,5151,365,0,98.76169507351067,180.0,180,8.6,30,258,60,0,18.08142502775937,0.0,0,173
ATL,"POSS CDS - < 50G MARIJUANA, 5G",11.6,5,58,58,0,25.938388538997565,0.0,0,9.6,5,48,12,0,5.366563145999495,12.0,12,174
ATL,"POSS CDS >50 G MARIJUANA, 5 GR",540.0,1,540,540,540,,540.0,540,0.0,1,0,0,0,,0.0,0,175
ATL,POSS CDS-FAILS TO GIVE CDS TO,14.325301204819278,83,1189,561,0,68.47379923233855,0.0,0,3.7590361445783134,83,312,60,0,9.35686830224231,0.0,0,176
