County,Judge
ESX,ALVIN LITTLE
ESX,ARTHUR J BATISTA
ESX,CAROLYN E WRIGHT
ESX,CHRIS S ROMANYSHYN
ESX,"HAROLD W FULLILOVE, JR."
ESX,JAMES L JUKES
ESX,JAMES W DONOHUE
ESX,JOHN I GIZZO
ESX,JOHN ZUNIC
ESX,JUDGE OUT OF COUNTY TRANSF
ESX,MARK ALI
ESX,MARTIN CRONIN
ESX,MARYSOL ROSERO
ESX,MAYRA V TARANTINO
ESX,MICHAEL L RAVIN
ESX,MICHAEL PETROLLE
ESX,NANCY SIVILLI
ESX,PATRICK J ARRE
ESX,PETER RYAN
ESX,ROBERT GARDNER
ESX,RONALD WIGLER
ESX,SHARIFA R SALAAM
ESX,SHEILA VENABLE
ESX,SIOBHAN A TEARE
ESX,SPECIAL REMAND COURT
ESX,THOMAS VENA
ESX,VERNA G LEATH
ESX,VERNA LEATH
GLO,BENJAMIN C TELSEY
GLO,CHRISTINE ALLEN-JACKSON
GLO,DRUGCOURT SANDRA LOPEZ
GLO,DRUGCOURT SILVANIO MICHAEL
GLO,"JOHN C EASTLACK, JR."
GLO,JUDGE OUT OF COUNTY TRANSF
GLO,KEVIN T SMITH
GLO,LINDA LAWHUN
GLO,MARYBETH KRAMER
GLO,MICHAEL J SILVANIO
GLO,"ROBERT P BECKER, JR"
GLO,SAMUEL J RAGONESE
HNT,ANGELA F BORKOWSKI
HNT,H.MATTHEW CURRY
HNT,HAEKYOUNG SUH
HNT,JUDGE OUT OF COUNTY TRANSF
HNT,KEVIN SHANAHAN
HNT,PETER TOBER
HUD,ANGELO SERVIDIO
HUD,CARLO ABAD
HUD,JEFFREY R JABLONSKI
HUD,JOHN A YOUNG JR
HUD,JOSEPH ISABELLA
HUD,JUDGE OUT OF COUNTY TRANSF
HUD,MARK J NELSON
HUD,MARTHA LYNES
HUD,MITZY GALIS-MENENDEZ
HUD,NESLE A RODRIGUEZ
HUD,PATRICK J ARRE
HUD,PAUL M DEPASCALE
HUD,SHEILA A VENABLE
HUD,VINCENT J MILITELLO
HUD,VITO A SCIANCALEPORE
MER,ANTHONY MASSI
MER,DARLENE PEREKSTA
MER,DRUGCOURT HUGHES JOSEPH
MER,JANETTA D MARBREY
MER,JOSEPH A HUGHES
MER,JUDGE OUT OF COUNTY TRANSF
MER,PETER E WARSHAW
MER,ROBERT BILLMEIER
MER,ROBERT W BINGHAM II
MER,THOMAS M BROWN
MER,THOMAS SCULLY
MER,TIMOTHY P LYDON
MID,ALBERTO RIVAS
MID,ANDREA G CARTER
MID,BENJAMIN S BUCCA
MID,COLLEEN M FLYNN
MID,CRAIG CORSON
MID,DENNIS NIEVES
MID,DIANE PINCUS
MID,JOSEPH PAONE
MID,JOSEPH REA
MID,JUDGE OUT OF COUNTY TRANSF
MID,MICHAEL A TOTO
MID,"PEDRO J JIMENEZ, JR."
MID,"ROBERT J JONES, JR."
MID,THOMAS J BUCK
MON,DAVID F BAUMAN
MON,DRUGCOURT ESCANDON PAUL
MON,DRUGCOURT G O'MALLEY JILL
MON,ELLEN TORREGROSSA-O'CONNOR
MON,HENRY BUTEHORN
MON,JILL G O'MALLEY
MON,JOSEPH W OXLEY
MON,JUDGE OUT OF COUNTY TRANSF
MON,LOURDES LUCAS
MON,MARC C LEMIEUX
MON,PAUL X ESCANDON
MON,RICHARD W ENGLISH
MON,"VINCENT N FALCETANO, JR."
MRS,DAVID H IRONSON
MRS,DRUGCOURT DEMARZO JAMES
MRS,JUDGE OUT OF COUNTY TRANSF
MRS,MICHAEL HUBNER
MRS,NOAH FRANZBLAU
MRS,RALPH E AMIRATA
MRS,ROBERT M HANNA
MRS,STEPHEN J TAYLOR
MRS,STUART A MINKOWITZ
MRS,THOMAS J CRITCHLEY
OCN,DRUGCOURT F NEMETH STEVEN
OCN,GUY P RYAN
OCN,JAMES M BLANEY
OCN,JUDGE OUT OF COUNTY TRANSF
OCN,LINDA BAXTER
OCN,LISA A PUGLISI
OCN,MICHAEL COLLINS
OCN,ROCHELLE GIZINSKI
OCN,STEVEN F NEMETH
OCN,THERESE CUNNINGHAM
OCN,WENDEL E DANIELS
PAS,ADAM E JACOBS
PAS,DONNA D GALLUCIO
PAS,ERNEST M CAPOSELA
PAS,"IMRE KARASZEGI, JR."
PAS,JOSEPH A PORTELLI
PAS,JUDGE OUT OF COUNTY TRANSF
PAS,JUSTINE A NICCOLLAI
PAS,MARILYN C CLARK
PAS,MARYBEL RAMIREZ
PAS,MIGUEL A DE LA CARRERA
PAS,SCOTT BENNION
PAS,SCOTT T RUMANA
PAS,SOHAIL MOHAMMED
SLM,CHRISTINE ALLEN-JACKSON
SLM,CRISTEN P D'ARRIGO
SLM,DRUGCOURT SANDRA LOPEZ
SLM,DRUGCOURT SILVANIO MICHAEL
SLM,"JOHN C EASTLACK, JR."
SLM,JUDGE OUT OF COUNTY TRANSF
SLM,LINDA LAWHUN
SLM,MICHAEL J SILVANIO
SLM,ROBERT G MALESTEIN
SOM,ANGELA F BORKOWSKI
SOM,ANTHONY F PICHECA JR
SOM,BRADFORD BURY
SOM,BRUCE A JONES
SOM,H MATTHEW CURRY
SOM,JUDGE OUT OF COUNTY TRANSF
SOM,JULIE M MARINO
SOM,KATHY C QASIM
SOM,KEVIN M SHANAHAN
SOM,KIMARIE RAHILL
SOM,MICHAEL J ROGERS
SOM,PETER J TOBER
SOM,ROBERT A BALLARD
SOM,ROBERT B REED
SSX,EDWARD A JEREJIAN
SSX,JUDGE OUT OF COUNTY TRANSF
SSX,LOUIS S SCEUSI
SSX,MICHAEL C GAUS
SSX,MICHAEL E HUBNER
SSX,PETER CONFORTI
SSX,ROBERT M HANNA
SSX,STUART A MINKOWITZ
SSX,THOMAS J CRITCHLEY
UNN,CANDIDO RODRIGUEZ JR J.S.C.
UNN,DANIEL R LINDEMANN J.S.C.
UNN,DARA GOVAN
UNN,JOHN M DEITCH J.S.C.
UNN,"JOSEPH P DONOHUE, J.S.C."
UNN,JUDGE OUT OF COUNTY TRANSF
UNN,LARA DIFABRIZIO J.S.C.
UNN,LEONARD S SACHAR
UNN,LISA M WALSH A.J.S.C.
UNN,OTHER VICINAGE JUDGE
UNN,REGINA CAULFIELD P.J.CR.
UNN,RICHARD C WISCHUSEN
UNN,ROBERT A KIRSCH J.S.C.
UNN,ROBERT J MEGA JSC
UNN,THOMAS K ISENHOUR
UNN,WILLIAM A DANIEL J.S.C.
WRN,ANGELA F BORKOWSKI
WRN,HAEKYOUNG SUH
WRN,JUDGE OUT OF COUNTY TRANSF
WRN,KATHY C QASIM
WRN,KEVIN M SHANAHAN
WRN,MATTHEW CURRY
WRN,PETER TOBER
WRN,ROBERT B REED
