Offense,AverageIncarcerationDays,TotalCasesDays,TotalIncarcerationDays,MaxSentenceDays,MinSentenceDays,StdDevSentence,MedianSentence,ModeSentence,AverageProbationMonth,TotalProbationMonthInstances,TotalProbationMonths,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth
AGG ASSAULT-CAUSE INJURY WITH,105.55555555555556,18,1900,540,0,171.25702122909135,0.0,0,16.333333333333332,18,294,36,0,12.314506032461448,21.0,24
AGG ASSAULT-EMERGENCY 1ST AID/,130.22222222222223,9,1172,188,0,81.23234850996519,180.0,0,34.0,9,306,60,0,20.784609690826528,48.0,48
AGG ASSAULT-FIRE/EXPLOSION-BI,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0
AGG ASSAULT-ON LAW ENFORCEMENT,254.08805031446542,159,40400,1825,0,386.65099534085437,88.0,0,17.628930817610062,159,2803,60,0,18.98318825148679,12.0,0
AGG ASSAULT-ON PAID/VOLUNTEER,170.5,4,682,216,98,50.63266402893162,184.0,184,12.0,4,48,36,0,16.97056274847714,6.0,0
"AGG ASSAULT-POINT, ETC. IMITAT",0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
AGG ASSAULT-POINT/DISPLAY FIRE,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
AGG ASSAULT-SIMPLE ASSAULT ON,0.0,3,0,0,0,0.0,0.0,0,12.0,3,36,24,0,12.0,12.0,0
AGG ASSLT SBI,949.0,5,4745,2190,0,951.8035511595867,1095.0,0,19.2,5,96,60,0,27.62607463973121,0.0,0
AGG ASSLT W/DW-BI-RECKLESS,313.0,1,313,313,313,,313.0,313,0.0,1,0,0,0,,0.0,0
AGG ASSLT W/FIREARM,817.5,2,1635,1095,540,392.44426355853386,817.5,540,0.0,2,0,0,0,0.0,0.0,0
AGG SEX ASSAULT-D ARMED W/ & T,4380.0,1,4380,4380,4380,,4380.0,4380,0.0,1,0,0,0,,0.0,0
AGG SEX ASSAULT-DURING ROBBERY,46720.0,1,46720,46720,46720,,46720.0,46720,0.0,1,0,0,0,,0.0,0
AGG SEX ASSAULT-FORCE/COERCION,3650.0,1,3650,3650,3650,,3650.0,3650,0.0,1,0,0,0,,0.0,0
AGG SEX ASSAULT-V >=13 & < 16-,2920.0,2,5840,3285,2555,516.1879502661797,2920.0,2555,0.0,2,0,0,0,0.0,0.0,0
"AGG SEX ASSAULT-V HELPLESS, IN",6265.833333333333,6,37595,10950,2190,2923.799611236493,6022.5,5110,0.0,6,0,0,0,0.0,0.0,0
AGG SEX ASSAULT-V>=13 & <16-D,5402.0,5,27010,7665,3650,1469.096661217362,5475.0,5475,0.0,5,0,0,0,0.0,0.0,0
AGG SEX ASSAULT-VIC >=13 & <16,4640.714285714285,7,32485,6570,3285,1393.2977325139705,3650.0,3650,0.0,7,0,0,0,0.0,0.0,0
AGG SEX ASSLT-<13 YRS.,5475.0,1,5475,5475,5475,,5475.0,5475,0.0,1,0,0,0,,0.0,0
AGGRAVATED CRIMINAL SEXUAL CON,682.9166666666666,12,8195,1825,0,760.6429646667151,317.0,0,8.0,12,96,60,0,19.371957239079567,0.0,0
AGGRAVATED MANSLAUGHTER-EXTREM,6390.14705882353,68,434530,18615,1825,2683.5948504449216,5840.0,5475,0.0,68,0,0,0,0.0,0.0,0
AGGRAVATED SEXUAL ASSAULT - VI,7148.714285714285,35,250205,28470,1825,4966.276173715417,5475.0,5475,0.0,35,0,0,0,0.0,0.0,0
ARMED ROBBERY,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0
ARSON-RECKLESS DANGER OF DEATH,365.0,4,1460,1460,0,729.9999999999999,0.0,0,27.0,4,108,60,0,26.60826939130014,24.0,0
ARSON-RECKLESS DANGER TO BLDG/,412.5,22,9075,1825,0,653.2810778422,163.0,0,27.272727272727273,22,600,60,0,18.583612387010483,24.0,24
ASSAULT BY AUTO/VESSEL BI VIOL,66.01960784313725,51,3367,540,0,152.74900853309373,0.0,0,22.254901960784313,51,1135,60,0,14.965083544377428,18.0,12
ASSAULT BY AUTO/VESSEL SBI VIO,230.03846153846155,26,5981,1460,0,399.0949241239964,0.0,0,29.307692307692307,26,762,60,0,19.9594974501248,36.0,36
ASSAULT BY AUTO/VESSEL-BI WHIL,0.0,2,0,0,0,0.0,0.0,0,12.0,2,24,24,0,16.97056274847714,12.0,0
ASSAULT BY AUTO/VESSEL-DRIVE I,10.0,1,10,10,10,,10.0,10,24.0,1,24,24,24,,24.0,24
ASSAULT BY AUTO/VESSEL-RECKLES,78.76190476190476,21,1654,540,0,175.88686840179534,0.0,0,18.285714285714285,21,384,60,0,16.808161282968634,12.0,12
ASSAULT INSTITUTE ELDERLY PERS,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
ASSAULT MUTUAL FIGHTING,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
"ASSAULT, SIMPLE, NEG BI, ATTEM",0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0
ATT CAUSE PURP KNOWLY BODILY I,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
ATT CAUSE PURR/ KNOWLY BODILY,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,24,12,8.48528137423857,18.0,12
BAD CHECKS-PAYMENT REFUSED,0.0,1,0,0,0,,0.0,0,5.0,1,5,5,5,,5.0,5
"BAD CHECKS-VALUE $1,000-<$75,0",227.52631578947367,19,4323,1095,0,365.7042472972225,0.0,0,24.63157894736842,19,468,60,0,19.379859322720097,24.0,36
"BAD CHECKS-VALUE $200-<$1,000",49.5,6,297,180,0,68.71899300775587,24.0,0,22.0,6,132,60,0,20.31748015872047,18.0,18
"BAD CHECKS-VALUE $75,000+",547.5,2,1095,1095,0,774.2819253992695,547.5,0,30.0,2,60,60,0,42.42640687119285,30.0,0
BAD CHECKS-VALUE <$200,0.0,5,0,0,0,0.0,0.0,0,4.8,5,24,24,0,10.73312629199899,0.0,0
BAIL JUMPING -UNDERLYING OFFEN,973.0769230769231,13,12650,1825,0,701.2980181466438,1095.0,0,12.923076923076923,13,168,60,0,24.71997012694237,0.0,0
BIAS INTIMIDATION-UNDERLYING O,461.3,10,4613,2555,0,930.0514979767996,0.0,0,21.6,10,216,60,0,23.1862027939031,12.0,0
BRIBERY - PUB. SERV/PARTY OFF,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60
BURG TOOLS/POSS-KNOWING,180.0,1,180,180,180,,180.0,180,60.0,1,60,60,60,,60.0,60
BURGLARY,180.0,1,180,180,180,,180.0,180,60.0,1,60,60,60,,60.0,60
BURGLARY DEFINED,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
BURGLARY TOOLS - MANU/POSS-MAN,227.0,2,454,454,0,321.02647865869255,227.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0
BURGLARY-ELEMENTS,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24
BURGLARY-ENTER,0.0,3,0,0,0,0.0,0.0,0,46.0,3,138,60,18,24.24871130596428,60.0,60
BURGLARY-ENTERING STRUCTURE ET,483.8382913806255,1311,634312,5840,0,682.3517615585939,120.0,0,25.784897025171624,1311,33804,60,0,25.796699903757098,24.0,0
BURGLARY-INFLICT/ATTEMPT TO IN,1095.0,6,6570,2190,0,923.3850767691667,1277.5,0,11.333333333333334,6,68,60,0,24.055491403558285,0.0,0
BURGLARY-NO BI AND/OR UNARMED,438.8888888888889,72,31600,1825,0,606.6839573453022,0.0,0,23.083333333333332,72,1662,60,0,26.203832640864245,7.0,0
BURGLARY-REMAIN IN STRUCTURE E,569.0,40,22760,3650,0,801.6232250077308,102.5,0,20.4,40,816,60,0,24.6376822086694,0.0,0
BURGLARY-TRESPASS ON UTILITY C,84.16666666666667,6,505,180,0,85.34732958134464,72.5,0,29.5,6,177,60,0,28.801041647829337,28.5,0
CALLING 911 WITHOUT NEEDING 91,55.90909090909091,11,615,197,0,76.03611582064742,6.0,0,11.454545454545455,11,126,24,0,10.201604151932543,12.0,0
CARJACKING-INFLICT BI OR USES,2510.625,8,20085,4380,0,1646.8334062245467,2920.0,2920,15.0,8,120,60,0,27.774602993176543,0.0,0
CARJACKING-THREATEN OCCUPANT /,2336.0,5,11680,2555,1825,326.4659247149693,2555.0,2555,0.0,5,0,0,0,0.0,0.0,0
CARJACKING: THREATENS/COMMITS,3650.0,3,10950,3650,3650,0.0,3650.0,3650,0.0,3,0,0,0,0.0,0.0,0
CASINO CONTROL ACT-CERTAIN PER,143.10526315789474,19,2719,540,0,188.8132218583699,0.0,0,6.315789473684211,19,120,36,0,11.57128933360951,0.0,0
CAUSES CHILD HARM THAT MAKES C,0.0,2,0,0,0,0.0,0.0,0,39.0,2,78,60,18,29.698484809834994,39.0,18
CAUSING DEATH WHILE DRIVING W/,10.0,9,90,90,0,30.0,0.0,0,37.333333333333336,9,336,60,0,22.0,36.0,60
CAUSING SERIOUS INJURY DRIVING,27.857142857142858,7,195,120,0,44.52126297784977,0.0,0,26.571428571428573,7,186,36,18,6.80336051416609,24.0,24
CDS - MANU/DIST/PWID - HEROIN/,738.7381756756756,592,437333,10220,0,1063.8719377161656,180.0,0,22.138513513513512,592,13106,60,0,24.83885941848626,12.0,0
CDS - MANU/DIST/PWID - LSD - <,980.0,4,3920,1825,90,976.4135053005634,1002.5,1825,29.5,4,118,60,0,34.07345007480164,29.0,0
CDS - MANU/DIST/PWID - LSD - =,3285.0,1,3285,3285,3285,,3285.0,3285,0.0,1,0,0,0,,0.0,0
CDS - MANU/DIST/PWID - MARIJ >,261.4,25,6535,1460,0,506.56819218475744,0.0,0,22.8,25,570,60,0,18.33030277982336,24.0,24
CDS - MANU/DIST/PWID - MARIJ<1,261.3,10,2613,540,0,249.97424311761046,268.5,0,14.4,10,144,60,0,21.014280858501916,0.0,0
CDS - MANU/DIST/PWID - MARIJ=/,431.6363636363636,22,9496,1825,0,633.3452789942012,0.0,0,12.0,22,264,60,0,19.242809417694556,0.0,0
CDS - MANU/DIST/PWID - METH -,870.1153846153846,26,22623,2555,0,855.17653508141,364.0,0,24.46153846153846,26,636,60,0,28.291667705147066,0.0,0
CDS - MANU/DIST/PWID - OTHER S,369.56,25,9239,1825,0,618.1644926716513,0.0,0,22.04,25,551,60,0,23.622870274376055,12.0,0
CDS - MANU/DIST/PWID - SCHD I,605.3968253968254,63,38140,2920,0,709.3236337590297,331.0,0,25.047619047619047,63,1578,60,0,24.633722343521203,24.0,0
CDS - MANU/DIST/PWID -MARI =/>,881.6666666666666,9,7935,2555,0,1054.6474529433995,180.0,0,33.333333333333336,9,300,60,0,28.0,36.0,60
CDS - POSS/USE/UNDER INFLUENCE,226.0,1,226,226,226,,226.0,226,0.0,1,0,0,0,,0.0,0
CDS - UNDER INFLUENCE W/O PRES,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0
CDS MANU/DIST/PWID- MARIJ =/>,2250.0,1,2250,2250,2250,,2250.0,2250,0.0,1,0,0,0,,0.0,0
CDS-MANU/DIST/PWID-MARIJ=/>1OZ,203.3846153846154,13,2644,1095,0,408.33983772946164,0.0,0,26.76923076923077,13,348,60,0,19.689903699416806,24.0,36
CDS-UNDER INFLUENCE W/O PRESCR,7.0,3,21,21,0,12.12435565298214,0.0,0,0.0,3,0,0,0,0.0,0.0,0
CDS/ANALOG - DISTRIBUTE ON/NEA,712.7507598784194,329,234495,2920,0,793.86270385251,180.0,0,16.401215805471125,329,5396,60,0,22.15033443518362,0.0,0
CERT PERSON NOT TO HAVE WEAP P,2161.923076923077,78,168630,3650,0,654.4385076076746,1825.0,1825,0.46153846153846156,78,36,36,0,4.076197322920545,0.0,0
CERTAIN PERSONS NOT TO HAVE WE,454.2916666666667,24,10903,1825,0,635.2163259843858,83.0,0,9.0,24,216,60,0,13.818701883285943,0.0,0
CIRCULATE FALSE REPORT OF IMPE,191.9,10,1919,1095,0,350.3044548833359,1.5,0,21.0,10,210,60,0,18.601075237738275,15.0,12
CJ-THRT/PURP/KNOW PUT OCPNT/PE,2190.0,2,4380,2555,1825,516.1879502661797,2190.0,1825,0.0,2,0,0,0,0.0,0.0,0
COMMIT UNAUTHORIZED ACT DURING,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0
COMPUTER CRIME- ACCESS PURPOSE,839.0,5,4195,2190,0,1076.9772513846335,180.0,0,36.0,5,180,60,0,32.863353450309965,60.0,60
CONSPIRACY,724.4827586206897,29,21010,3102,0,980.19770675868,168.0,0,14.89655172413793,29,432,60,0,22.37081138381984,0.0,0
CONSPIRACY - AGREE/AID IN COND,395.2352941176471,17,6719,2190,0,642.284840375725,180.0,0,15.529411764705882,17,264,48,0,17.881965940084804,12.0,0
CONSPIRACY - AGREE/ENGAGE AID,336.9230769230769,13,4380,1825,0,657.3638593577713,0.0,0,7.461538461538462,13,97,60,0,16.465192501230106,0.0,0
CONSPIRACY - AGREE/ENGAGE IN C,498.3273942093541,449,223749,9125,0,885.4360821201066,3.0,0,18.342984409799556,449,8236,60,0,20.045661068684165,12.0,0
CONTEMPT,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0
CONTEMPT - VIOLATE DOMESTIC VI,38.65625,32,1237,200,0,68.6320762847904,0.0,0,12.5,32,400,60,0,14.652975036468016,12.0,0
CONTEMPT - VIOLATE DV ORDER BY,1644.8257575757575,132,217117,194180,0,16887.12396183057,125.0,0,17.545454545454547,132,2316,60,0,18.319623498732792,12.0,0
CONTEMPT - VIOLATE ORDER,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24
CONTEMPT-KNWING VIO SEX ASSAUL,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
CONTEMPT-VIOLATE JUDICIAL/REST,145.58695652173913,138,20091,1825,0,277.7072903232805,30.0,0,22.181159420289855,138,3061,60,0,20.670595324148056,24.0,0
CONTRACTOR - MUST REGISTER DIV,1.3333333333333333,3,4,3,0,1.5275252316519465,1.0,0,22.0,3,66,24,18,3.4641016151377544,24.0,24
CORPORATE MISCONDUCT-OPER CORP,0.0,1,0,0,0,,0.0,0,18.0,1,18,18,18,,18.0,18
CORPORATE MISCONDUCT-OPERATE,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60
CREDIT CARD CRIME-CRED CARD TH,108.26229508196721,61,6604,841,0,201.71042789432448,0.0,0,17.60655737704918,61,1074,60,0,19.561253102774877,12.0,0
CREDIT CARD CRIME-CREDIT CARD,23.8,5,119,59,0,24.742675683927153,30.0,0,48.0,5,240,60,0,26.832815729997478,60.0,60
CREDIT CARD CRIME-INT TO COMM,657.0,5,3285,1825,0,908.8426706531775,0.0,0,16.8,5,84,60,0,26.290682760247975,0.0,0
CREDIT CARD CRIME-INTENT TO CO,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60
CREDIT CARD CRIMES-POSSESS MAT,7.5,4,30,30,0,15.0,0.0,0,28.5,4,114,42,12,13.30413469565007,30.0,12
CREDIT CARD CRIMES-SCAN DEVICE,1019.3333333333334,3,3058,1460,503,482.9661823909965,1095.0,503,0.0,3,0,0,0,0.0,0.0,0
CREDIT CARD THEFT - FRAUDULENT,411.72033898305085,118,48583,1825,0,616.0264991191353,24.5,0,22.906779661016948,118,2703,60,0,23.736079965000158,18.0,0
CRIM SEX CONTACT PER 2C:14-2C,599.0,1,599,599,599,,599.0,599,0.0,1,0,0,0,,0.0,0
CRIM TRESPASS-ENTER/REMAIN,112.33333333333333,3,337,206,0,104.26089071810836,131.0,0,24.0,3,72,36,0,20.784609690826528,36.0,36
CRIMINAL ATTEMPT,450.3636363636364,11,4954,1825,0,677.1369540539451,90.0,0,1.0909090909090908,11,12,6,0,2.4271195048676715,0.0,0
CRIMINAL ATTEMPT - PURPOSELY E,1195.6385542168675,83,99238,18250,0,2480.1962431124484,364.0,0,16.72289156626506,83,1388,60,0,24.235286334846574,0.0,0
CRIMINAL ATTEMPT-DEFINITION-DO,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60
CRIMINAL ATTEMPT-OMISSION STEP,395.4166666666667,12,4745,2555,0,800.5579257144623,0.0,0,28.0,12,336,60,0,20.679370484527897,30.0,36
CRIMINAL COERCION-THREAT INFLC,506.0,4,2024,1825,0,884.3230932941497,99.5,0,9.0,4,36,36,0,18.0,0.0,0
CRIMINAL COERCION-THRET OFFIC,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
CRIMINAL MISCHIEF DAMAGE <= 50,0.0,2,0,0,0,0.0,0.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0
CRIMINAL MISCHIEF DAMAGE BETWE,483.75,4,1935,1095,0,463.52588924460304,420.0,0,6.0,4,24,24,0,12.0,0.0,0
CRIMINAL MISCHIEF TO A TRAFFIC,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
CRIMINAL MISCHIEF-BREAK GAS/OI,288.0,5,1440,360,0,160.99689437998487,360.0,360,0.0,5,0,0,0,0.0,0.0,0
CRIMINAL MISCHIEF-DAMAGE PROPE,149.33962264150944,265,39575,1825,0,285.05393850272907,0.0,0,16.324528301886794,265,4326,60,0,19.50292233017425,12.0,0
CRIMINAL MISCHIEF-ENDANGER-DAM,76.3076923076923,13,992,628,0,193.9034917234966,0.0,0,12.0,13,156,60,0,18.33030277982336,0.0,0
CRIMINAL MISCHIEF-ENDANGER-MOR,707.8,5,3539,1825,0,775.8715744245306,619.0,0,21.6,5,108,60,0,26.015380066414558,12.0,0
CRIMINAL MISCHIEF-IMPAIR PUBLI,1277.5,2,2555,1460,1095,258.0939751330898,1277.5,1095,0.0,2,0,0,0,0.0,0.0,0
CRIMINAL RESTRAINT - HOLD VIC,203.5,2,407,407,0,287.79245994292484,203.5,0,18.0,2,36,36,0,25.45584412271571,18.0,0
CRIMINAL RESTRAINT - RISK OF S,698.5714285714286,21,14670,1825,0,716.6705359806954,364.0,0,12.0,21,252,60,0,19.71801207018598,0.0,0
CRIMINAL SEXUAL CONTACT,191.83098591549296,71,13620,1825,0,301.41054043165076,0.0,0,19.211267605633804,71,1364,60,0,19.16985393264103,14.0,0
CRIMINAL SIMULATION,366.0,3,1098,540,279,150.68842025849233,279.0,279,0.0,3,0,0,0,0.0,0.0,0
CRIMINAL TRESPASS-DEFIANT TRES,17.695652173913043,23,407,272,0,59.22026279654371,0.0,0,4.695652173913044,23,108,60,0,13.41110388856493,0.0,0
CRIMINAL TRESPASS-PEERING INTO,215.84615384615384,13,2806,540,0,218.09319344179687,278.0,0,21.23076923076923,13,276,60,0,24.933758394841075,18.0,0
CRIMINAL TRESPASS-RESEARCH FAC,136.57857142857142,140,19121,2190,0,271.9554044021851,0.5,0,21.228571428571428,140,2972,60,0,22.624028372838588,12.0,0
CRIMINAL TRESPASS-STRUCT OTHER,57.660714285714285,56,3229,1095,0,177.70038898875055,0.0,0,5.142857142857143,56,288,60,0,9.39521845781831,0.0,0
CRIMINAL TRESPASS-UNLCNSED ENT,360.0,3,1080,540,0,311.7691453623979,540.0,540,0.0,3,0,0,0,0.0,0.0,0
CRUELTY & NEGLECT OF CHILDREN,66.28155339805825,103,6827,540,0,145.52389585298343,0.0,0,21.97087378640777,103,2263,60,0,18.38715254303332,24.0,12
CRUELTY TO ANIMALS-BOD INJ-FAI,53.76923076923077,13,699,364,0,104.63520268545209,0.0,0,36.0,13,468,60,0,16.792855623746668,36.0,36
CRUELTY TO ANIMALS-OWNER FAILS,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
CRUELTY TO ANIMALS-TORTURE/ETC,250.375,8,2003,1095,0,373.9205177192455,90.0,0,30.0,8,240,60,0,18.142294704442907,24.0,24
CRUELTY TO ANIMALS-TORTURE/TOR,54.0,5,270,180,0,80.49844718999243,0.0,0,21.6,5,108,36,0,15.646085772486357,24.0,36
CYBER HARASS SEND/POST OBSCENE,42.0,10,420,180,0,61.472667819844034,2.5,0,18.0,10,180,60,0,21.166010488516726,15.0,0
CYBER HARRASSMENT- THREATEN IN,12.857142857142858,7,90,90,0,34.01680257083045,0.0,0,21.428571428571427,7,150,60,0,18.928436657202152,18.0,12
DEATH BY AUTO OR VESSEL (VEHIC,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0
DEFRAUD ADMIN OF DRUG TEST - C,322.90909090909093,11,3552,1460,0,498.91451262625236,90.0,0,33.81818181818182,11,372,60,0,30.27149874657078,60.0,60
DESTRUCTION/ALTERATION OF MEDI,0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36
DISARMING LAW ENFORCEMENT OFFI,2372.5,2,4745,2555,2190,258.0939751330898,2372.5,2190,0.0,2,0,0,0,0.0,0.0,0
DISEASED PERSON COMMIT SEX PEN,148.0,1,148,148,148,,148.0,148,36.0,1,36,36,36,,36.0,36
DISORDERLY CONDUCT,0.0,6,0,0,0,0.0,0.0,0,2.0,6,12,12,0,4.898979485566356,0.0,0
DISORDERLY CONDUCT BY IMPROPER,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0
DISORDERLY CONDUCT-IMPROP BEHA,3.2406015037593985,133,431,191,0,19.72352478484722,0.0,0,3.0676691729323307,133,408,36,0,6.3796498060081674,0.0,0
DISORDERLY CONDUCT-OFFENSIVE L,18.424242424242426,33,608,283,0,59.42591517123984,0.0,0,2.5454545454545454,33,84,24,0,5.8153402151707185,0.0,0
DIST/POSS CDS W/IN 500 FT PUBL,662.3333333333334,6,3974,1825,0,775.6872221886001,527.0,0,22.666666666666668,6,136,60,0,29.574764017091777,8.0,0
DIST/POSS/PWID - IMITATION CDS,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0
DIST/POSS/PWID DRUG PARAPHERNA,169.28571428571428,7,1185,1095,0,409.57730824420855,0.0,0,10.285714285714286,7,72,24,0,10.796824930109247,12.0,0
DIST/POSSESS PRES DRUG/STRAM P,90.0,1,90,90,90,,90.0,90,12.0,1,12,12,12,,12.0,12
DISTURBING/DESECRATING HUMAN R,1642.5,2,3285,3285,0,2322.8457761978084,1642.5,0,30.0,2,60,60,0,42.42640687119285,30.0,0
DRIVING ON THE REVOKED LIST,180.0,1,180,180,180,,180.0,180,24.0,1,24,24,24,,24.0,24
DRUG-INDUCE DEATH - STRICT LIA,3650.0,1,3650,3650,3650,,3650.0,3650,0.0,1,0,0,0,,0.0,0
DRUG-INDUCED DEATH - STRICT LI,2986.3636363636365,11,32850,4380,1825,1003.8254103903997,2920.0,1825,0.0,11,0,0,0,0.0,0.0,0
DWI - PARENT/GUARDIAN WITH MIN,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12
ELUDING LEO-FAIL TO STOP,270.0,2,540,540,0,381.8376618407357,270.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0
EMPLOY JUVENILE IN CDS DISTRIB,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0
EMPLOYING JUVENILE IN COMM OF,364.0,1,364,364,364,,364.0,364,36.0,1,36,36,36,,36.0,36
END WELFARE CHILD SELL PHOTO,243.33333333333334,3,730,365,0,210.7328482542134,365.0,365,20.0,3,60,60,0,34.64101615137755,0.0,0
