Judge,Offense,AverageIncarcerationYear,TotalCasesYear,TotalIncarcerationYears,MaxSentenceYear,MinSentenceYear,StdDevSentenceYear,MedianSentenceYear,ModeSentenceYear,AverageProbationMonth,TotalProbationMonthInstances,TotalIncarcerationMonth,MaxProbationMonth,MinProbationMonth,StdDevProbationMonth,MedianProbationMonth,ModeProbationMonth,ID
ALVIN LITTLE,THEFT BY DECEPTION-VALUE LESS,0.0,1,0,0,0,,0.0,0,6.0,1,6,6,6,,6.0,6,27
ALVIN LITTLE,THEFT BY UNLAWFL TAKNG-MOVABLE,0.0,1,0,0,0,,0.0,0,15.0,1,15,15,15,,15.0,15,28
ALVIN LITTLE,UNLAWFUL POSS WEAPON-HANDGUNS,1542.5,4,6170,1825,1260,326.2029020921386,1542.5,1260,0.0,4,0,0,0,0.0,0.0,0,29
ALVIN LITTLE,WANDERING/PROWLING TO OBTAIN/S,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,30
ALVIN LITTLE,WEAPONS-MANU/TRANSPO/DISP/DEFA,0.0,1,0,0,0,,0.0,0,45.0,1,45,45,45,,45.0,45,31
ANGELA F BORKOWSKI,AGG ASSAULT - ON DOMESTIC VIOL,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,32
ANGELA F BORKOWSKI,AGG ASSAULT - STRANGLE DOMESTI,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,33
ANGELA F BORKOWSKI,AGG ASSAULT-ATTEMPT/CAUSE BI W,88.66666666666667,3,266,266,0,153.57517160444044,0.0,0,44.0,3,132,60,36,13.856406460551018,36.0,36,34
ANGELA F BORKOWSKI,AGG ASSAULT-ATTEMPT/CAUSE SBI,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,35
ANGELA F BORKOWSKI,AGG ASSAULT-ON LAW ENFORCEMENT,266.0,1,266,266,266,,266.0,266,36.0,1,36,36,36,,36.0,36,36
ANGELA F BORKOWSKI,ASSAULT BY AUTO/VESSEL-RECKLES,180.0,1,180,180,180,,180.0,180,0.0,1,0,0,0,,0.0,0,37
ANGELA F BORKOWSKI,BURGLARY-ENTERING STRUCTURE ET,213.03846153846155,26,5539,1095,0,387.1547990940296,0.0,0,34.15384615384615,26,888,60,0,28.537263089080295,48.0,60,38
ANGELA F BORKOWSKI,BURGLARY-REMAIN IN STRUCTURE E,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,39
ANGELA F BORKOWSKI,CDS - MANU/DIST/PWID - HEROIN/,144.66666666666666,3,434,364,0,193.14588614136554,70.0,0,32.0,3,96,60,0,30.199337741083,36.0,0,40
ANGELA F BORKOWSKI,CDS - MANU/DIST/PWID - MARIJ >,0.0,2,0,0,0,0.0,0.0,0,30.0,2,60,36,24,8.48528137423857,30.0,24,41
ANGELA F BORKOWSKI,CDS - MANU/DIST/PWID - OTHER S,180.0,1,180,180,180,,180.0,180,0.0,1,0,0,0,,0.0,0,42
ANGELA F BORKOWSKI,CDS-MANU/DIST/PWID-MARIJ=/>1OZ,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,43
ANGELA F BORKOWSKI,CIRCULATE FALSE REPORT OF IMPE,93.0,1,93,93,93,,93.0,93,36.0,1,36,36,36,,36.0,36,44
ANGELA F BORKOWSKI,CONSPIRACY - AGREE/ENGAGE IN C,0.0,20,0,0,0,0.0,0.0,0,32.7,20,654,60,0,19.390990854409413,36.0,36,45
ANGELA F BORKOWSKI,CONTEMPT - VIOLATE DOMESTIC VI,200.0,1,200,200,200,,200.0,200,10.0,1,10,10,10,,10.0,10,46
ANGELA F BORKOWSKI,CONTEMPT - VIOLATE DV ORDER BY,100.0,2,200,200,0,141.4213562373095,100.0,0,0.0,2,0,0,0,0.0,0.0,0,47
ANGELA F BORKOWSKI,CONTEMPT-VIOLATE JUDICIAL/REST,0.0,3,0,0,0,0.0,0.0,0,20.333333333333332,3,61,60,0,34.35597958628648,1.0,0,48
ANGELA F BORKOWSKI,CREDIT CARD CRIME-CRED CARD TH,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,49
ANGELA F BORKOWSKI,CREDIT CARD THEFT - FRAUDULENT,0.0,2,0,0,0,0.0,0.0,0,60.0,2,120,60,60,0.0,60.0,60,50
ANGELA F BORKOWSKI,CRIMINAL ATTEMPT - PURPOSELY E,0.0,2,0,0,0,0.0,0.0,0,60.0,2,120,60,60,0.0,60.0,60,51
ANGELA F BORKOWSKI,CRIMINAL ATTEMPT-DEFINITION-DO,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,52
ANGELA F BORKOWSKI,CRIMINAL ATTEMPT-OMISSION STEP,730.0,3,2190,1095,0,632.1985447626403,1095.0,1095,12.0,3,36,36,0,20.784609690826528,0.0,0,53
ANGELA F BORKOWSKI,CRIMINAL MISCHIEF-DAMAGE PROPE,90.2,5,451,266,0,126.78801205161315,0.0,0,33.6,5,168,60,0,27.36421020237931,36.0,60,54
ANGELA F BORKOWSKI,CRIMINAL SEXUAL CONTACT,0.0,2,0,0,0,0.0,0.0,0,25.0,2,50,36,14,15.556349186104045,25.0,14,55
ANGELA F BORKOWSKI,CRIMINAL TRESPASS-RESEARCH FAC,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,56
ANGELA F BORKOWSKI,CRUELTY & NEGLECT OF CHILDREN,60.0,3,180,180,0,103.92304845413264,0.0,0,20.333333333333332,3,61,60,0,34.35597958628648,1.0,0,57
ANGELA F BORKOWSKI,CRUELTY TO ANIMALS-TORTURE/ETC,364.0,1,364,364,364,,364.0,364,24.0,1,24,24,24,,24.0,24,58
ANGELA F BORKOWSKI,DISORDERLY CONDUCT-IMPROP BEHA,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,59
ANGELA F BORKOWSKI,ENDANGERING-ABUSE/NEGLECT OF A,0.0,2,0,0,0,0.0,0.0,0,60.0,2,120,60,60,0.0,60.0,60,60
ANGELA F BORKOWSKI,ENDANGERING-STORE/MAINTAIN CHI,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,61
ANGELA F BORKOWSKI,EXHIBIT FALSE MOTOR VEHICLE IN,180.0,1,180,180,180,,180.0,180,36.0,1,36,36,36,,36.0,36,62
ANGELA F BORKOWSKI,FALSE REPRT TO LAW ENFOR-FICT,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,63
ANGELA F BORKOWSKI,FORGERY-UTTER FORGED DOCS-GOV,182.0,2,364,364,0,257.3868683519033,182.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0,64
ANGELA F BORKOWSKI,HINDERING-FALSE INFO-UNDERLYIN,18.6,5,93,90,0,39.93494710150497,0.0,0,16.8,5,84,60,0,24.883729623993265,12.0,0,65
ANGELA F BORKOWSKI,HINDERING-GIVE FALSE INFORMATI,12.0,2,24,24,0,16.97056274847714,12.0,0,0.0,2,0,0,0,0.0,0.0,0,66
ANGELA F BORKOWSKI,HINDERING-ONESELF-FALS INFO-UN,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,67
ANGELA F BORKOWSKI,INVASION OF PRIVACY-RECORD SEX,90.0,1,90,90,90,,90.0,90,36.0,1,36,36,36,,36.0,36,68
ANGELA F BORKOWSKI,KNOW POSS/VIEW/CTRL <1K ITEMS,547.5,2,1095,1095,0,774.2819253992695,547.5,0,18.0,2,36,36,0,25.45584412271571,18.0,0,69
ANGELA F BORKOWSKI,KNOWINGLY EXHIBITING A FALSE G,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,70
ANGELA F BORKOWSKI,LURING/ENTICING AN ADULT,0.0,1,0,0,0,,0.0,0,7.0,1,7,7,7,,7.0,7,71
ANGELA F BORKOWSKI,"MANU/DIST/DISP-CDS-HEROIN,METH",414.0,1,414,414,414,,414.0,414,0.0,1,0,0,0,,0.0,0,72
ANGELA F BORKOWSKI,MANUF/DISTR CDS OR INTENT TO M,547.5,12,6570,3285,0,1072.650709902597,0.0,0,42.0,12,504,60,0,27.316328783015813,60.0,60,73
ANGELA F BORKOWSKI,MANUFACTURE/PACKAGE IMITATION,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,74
ANGELA F BORKOWSKI,OBSTRUCT ADMIN OF LAW-OBSTRUCT,0.0,4,0,0,0,0.0,0.0,0,20.75,4,83,36,5,12.893796958227627,21.0,5,75
ANGELA F BORKOWSKI,OPERATE MV DURING LICENSE SUSP,180.0,3,540,180,180,0.0,180.0,180,4.0,3,12,12,0,6.928203230275509,0.0,0,76
ANGELA F BORKOWSKI,"POSS CDS >6 OZ MARIJUANA, >17",0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36,77
ANGELA F BORKOWSKI,POSS CDS-FAILS TO GIVE CDS TO,0.0,2,0,0,0,0.0,0.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0,78
ANGELA F BORKOWSKI,POSS CDS/ANALOG - SCHD I II II,155.04705882352943,85,13179,1825,0,445.06954795965135,0.0,0,39.188235294117646,85,3331,60,0,24.37675225332875,60.0,60,79
ANGELA F BORKOWSKI,POSS OF PRESCRIPT DRUGS IN ORI,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,80
ANGELA F BORKOWSKI,POSS OF WEAPON FOR UNLAWFUL PU,15.0,2,30,30,0,21.213203435596427,15.0,0,48.0,2,96,60,36,16.97056274847714,48.0,36,81
ANGELA F BORKOWSKI,POSS/DIST WITHIN 500 FT CERTAI,2190.0,1,2190,2190,2190,,2190.0,2190,0.0,1,0,0,0,,0.0,0,82
ANGELA F BORKOWSKI,PROHIBITED WEAPONS AND DEVICES,0.0,2,0,0,0,0.0,0.0,0,36.0,2,72,36,36,0.0,36.0,36,83
ANGELA F BORKOWSKI,RECEIVNG STOLEN PROP-KNOW PROP,0.0,2,0,0,0,0.0,0.0,0,30.0,2,60,60,0,42.42640687119285,30.0,0,84
ANGELA F BORKOWSKI,RESIST ARR/ELUD-AFTER INSTRUCT,0.0,9,0,0,0,0.0,0.0,0,30.0,9,270,60,0,22.045407685048602,36.0,36,85
ANGELA F BORKOWSKI,RESIST ARR/ELUD-FLIGHT PREVENT,21.833333333333332,6,131,131,0,53.48052605076605,0.0,0,22.833333333333332,6,137,60,0,29.054546402700332,8.5,0,86
ANGELA F BORKOWSKI,RESIST ARR/ELUD-MV OP- RISK OF,1147.142857142857,7,8030,2555,0,1181.3934468205232,1095.0,0,17.142857142857142,7,120,60,0,29.277002188455995,0.0,0,87
ANGELA F BORKOWSKI,RESIST ARR/ELUD-USE/THREATEN F,553.6666666666666,3,1661,1460,53,786.3436483709481,148.0,53,12.0,3,36,36,0,20.784609690826528,0.0,0,88
ANGELA F BORKOWSKI,ROBBERY-BI/FEAR/WHILE 1ST/2ND,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,89
ANGELA F BORKOWSKI,ROBBERY-INFLICTS BI OR USES FO,0.0,2,0,0,0,0.0,0.0,0,60.0,2,120,60,60,0.0,60.0,60,90
ANGELA F BORKOWSKI,ROBBERY-THREAT OR FEAR OF BI,0.0,1,0,0,0,,0.0,0,1.0,1,1,1,1,,1.0,1,91
ANGELA F BORKOWSKI,SEXUAL ASSAULT-VIC < 13 & DEF,3650.0,1,3650,3650,3650,,3650.0,3650,0.0,1,0,0,0,,0.0,0,92
ANGELA F BORKOWSKI,SEXUAL ASSAULT-VICTIM 13-15 Y/,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,93
ANGELA F BORKOWSKI,SHOPLIFTING-CONCEAL MERCH-RETA,90.0,1,90,90,90,,90.0,90,60.0,1,60,60,60,,60.0,60,94
ANGELA F BORKOWSKI,SHOPLIFTING-CONCEAL MERCHANDIS,270.0,1,270,270,270,,270.0,270,0.0,1,0,0,0,,0.0,0,95
ANGELA F BORKOWSKI,SHOPLIFTING-REM/ALTER TAG/BUY,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,96
ANGELA F BORKOWSKI,SHOPLIFTING-TAKE MERCH W/O PAY,174.58333333333334,12,2095,1825,0,521.2897394196843,0.0,0,38.416666666666664,12,461,60,0,28.279315709007125,60.0,60,97
ANGELA F BORKOWSKI,SHOPLIFTING-TAKE MERCH W/OUT P,45.0,2,90,90,0,63.63961030678928,45.0,0,42.0,2,84,60,24,25.45584412271571,42.0,24,98
ANGELA F BORKOWSKI,"SIMPLE ASSAULT-PURP/KNOW B.I.,",0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,99
ANGELA F BORKOWSKI,SIMPLE ASSAULT-PURPOSELY/KNOWI,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,100
ANGELA F BORKOWSKI,SPECIAL SENTENCE PSL/CSL - VIO,540.0,1,540,540,540,,540.0,540,0.0,1,0,0,0,,0.0,0,101
ANGELA F BORKOWSKI,STALKING-ENGAGE CONDUCT REASON,0.0,1,0,0,0,,0.0,0,60.0,1,60,60,60,,60.0,60,102
ANGELA F BORKOWSKI,STALKING-STALKING IN VIOLATION,0.0,2,0,0,0,0.0,0.0,0,30.0,2,60,60,0,42.42640687119285,30.0,0,103
ANGELA F BORKOWSKI,TAMPER W/PUB RECS-USE/FILE FAL,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,104
ANGELA F BORKOWSKI,TERRORISTIC THREATS-THREAT TO,486.6666666666667,3,1460,1460,0,842.9313930168536,0.0,0,40.0,3,120,60,0,34.64101615137755,60.0,60,105
ANGELA F BORKOWSKI,TERRORISTIC THREATS-THREATEN I,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,106
ANGELA F BORKOWSKI,THEFT BY DECEPTION-VALUE $500-,0.0,4,0,0,0,0.0,0.0,0,39.0,4,156,60,0,28.35489375751565,48.0,60,107
ANGELA F BORKOWSKI,THEFT BY UNLAWFL TAKNG-MOVABLE,164.12,25,4103,1825,0,433.4263989806497,0.0,0,29.8,25,745,60,0,26.32964109136317,36.0,60,108
ANGELA F BORKOWSKI,THROWING BODILY FLUID AT LAW E,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,109
ANGELA F BORKOWSKI,UNLAW TAKING MEANS OF CONVEYAN,90.0,4,360,180,0,103.92304845413264,90.0,0,12.0,4,48,24,0,13.856406460551018,12.0,0,110
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAP - RIFLE/SHO,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,111
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAP - RIFLES/SH,0.0,2,0,0,0,0.0,0.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0,112
ANGELA F BORKOWSKI,UNLAWFUL POSS WEAPON-HANDGUNS,243.16666666666666,6,1459,1095,0,441.98208862652643,0.0,0,22.166666666666668,6,133,36,0,17.417424225948757,30.0,36,113
ANGELA F BORKOWSKI,USE/POSS W/INTEUSE/POSS W/INT,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,114
ANGELA F BORKOWSKI,VEHICLE TITLE FRAUD-MISREPRESE,0.0,1,0,0,0,,0.0,0,1.0,1,1,1,1,,1.0,1,115
ANGELA F BORKOWSKI,WANDERING/PROWLING TO OBTAIN/S,47.0,3,141,141,0,81.40638795573723,0.0,0,8.0,3,24,12,0,6.928203230275509,12.0,12,116
ANGELO SERVIDIO,ABUSE/ABANDONMENT/CRUELTY & NE,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,117
ANGELO SERVIDIO,AGG ASSAULT,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,118
ANGELO SERVIDIO,AGG ASSAULT - ON DOMESTIC VIOL,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,119
ANGELO SERVIDIO,AGG ASSAULT - STRANGLE DOMESTI,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,120
ANGELO SERVIDIO,AGG ASSAULT W/ FIREARM,540.0,1,540,540,540,,540.0,540,0.0,1,0,0,0,,0.0,0,121
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE BI W,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,122
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE SBI,0.0,1,0,0,0,,0.0,0,48.0,1,48,48,48,,48.0,48,123
ANGELO SERVIDIO,AGG ASSAULT-ATTEMPT/CAUSE SIGN,875.8,5,4379,1825,0,879.1818355721415,365.0,1825,16.8,5,84,36,0,18.19890106572372,12.0,0,124
ANGELO SERVIDIO,BURGLARY-ENTERING STRUCTURE ET,511.0,10,5110,1460,0,670.8237059350574,0.0,0,18.6,10,186,36,0,17.07629936490925,21.0,0,125
ANGELO SERVIDIO,BURGLARY-NO BI AND/OR UNARMED,851.6666666666666,3,2555,1460,0,759.8080898051385,1095.0,0,12.0,3,36,36,0,20.784609690826528,0.0,0,126
ANGELO SERVIDIO,CDS/ANALOG - DISTRIBUTE ON/NEA,243.33333333333334,6,1460,1460,0,596.04250407724,0.0,0,20.0,6,120,36,0,12.393546707863734,24.0,24,127
ANGELO SERVIDIO,CIRCULATE FALSE REPORT OF IMPE,0.0,1,0,0,0,,0.0,0,18.0,1,18,18,18,,18.0,18,128
ANGELO SERVIDIO,CONSPIRACY - AGREE/ENGAGE IN C,0.0,2,0,0,0,0.0,0.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0,129
ANGELO SERVIDIO,CONTEMPT-VIOLATE JUDICIAL/REST,0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36,130
ANGELO SERVIDIO,CREDIT CARD CRIME-CRED CARD TH,364.0,1,364,364,364,,364.0,364,0.0,1,0,0,0,,0.0,0,131
ANGELO SERVIDIO,CREDIT CARD THEFT - FRAUDULENT,730.0,2,1460,1460,0,1032.3759005323593,730.0,0,18.0,2,36,36,0,25.45584412271571,18.0,0,132
ANGELO SERVIDIO,CRIMINAL ATTEMPT - PURPOSELY E,547.5,2,1095,1095,0,774.2819253992695,547.5,0,6.0,2,12,12,0,8.48528137423857,6.0,0,133
ANGELO SERVIDIO,CRIMINAL MISCHIEF DAMAGE BETWE,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,134
ANGELO SERVIDIO,CRIMINAL MISCHIEF-DAMAGE PROPE,210.6,5,1053,540,0,288.533880159679,0.0,0,10.8,5,54,36,0,16.099689437998485,0.0,0,135
ANGELO SERVIDIO,CRIMINAL SEXUAL CONTACT,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,136
ANGELO SERVIDIO,CRIMINAL TRESPASS-PEERING INTO,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,137
ANGELO SERVIDIO,CRIMINAL TRESPASS-RESEARCH FAC,270.0,2,540,540,0,381.8376618407357,270.0,0,30.0,2,60,60,0,42.42640687119285,30.0,0,138
ANGELO SERVIDIO,CRUELTY & NEGLECT OF CHILDREN,0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36,139
ANGELO SERVIDIO,DISORDERLY CONDUCT-OFFENSIVE L,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,140
ANGELO SERVIDIO,ENDANGERING-ABUSE/NEGLECT OF A,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,141
ANGELO SERVIDIO,HARASSMENT-COMMUNICATION IN MA,106.0,5,530,526,0,234.78926721636998,2.0,0,4.8,5,24,12,0,6.572670690061994,0.0,0,142
ANGELO SERVIDIO,INCONVENIENT ANNOYANCE,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,143
ANGELO SERVIDIO,INITI/CIRCU/CAUSE REPORT/WARN,0.0,1,0,0,0,,0.0,0,18.0,1,18,18,18,,18.0,18,144
ANGELO SERVIDIO,KNOWING LEAVING SCENE OF MV AC,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,145
ANGELO SERVIDIO,MANUF/DISTR CDS OR INTENT TO M,638.0,4,2552,1460,364,548.0,364.0,364,27.0,4,108,36,0,18.0,36.0,36,146
ANGELO SERVIDIO,POSS CDS/ANALOG - SCHD I II II,456.25,8,3650,1460,0,639.6804447758047,0.0,0,13.5,8,108,24,0,11.892374507581378,18.0,24,147
ANGELO SERVIDIO,POSS MJ>50G HASH>5G 4TH DEGREE,0.0,1,0,0,0,,0.0,0,36.0,1,36,36,36,,36.0,36,148
ANGELO SERVIDIO,RECEIVING STOLEN PROPERTY-VALU,226.0,4,904,540,0,270.6732347314747,182.0,0,3.0,4,12,12,0,6.0,0.0,0,149
ANGELO SERVIDIO,RECEIVNG STOLEN PROP-KNOW PROP,547.5,2,1095,1095,0,774.2819253992695,547.5,0,12.0,2,24,24,0,16.97056274847714,12.0,0,150
ANGELO SERVIDIO,REG OF SEX OFF-NOTICE OF CHANG,1095.0,1,1095,1095,1095,,1095.0,1095,0.0,1,0,0,0,,0.0,0,151
ANGELO SERVIDIO,REGISTRATION OF SEX OFFENDER-V,730.0,2,1460,1460,0,1032.3759005323593,730.0,0,0.0,2,0,0,0,0.0,0.0,0,152
ANGELO SERVIDIO,RESIST ARR/ELUD-FLIGHT PREVENT,270.0,2,540,540,0,381.8376618407357,270.0,0,6.0,2,12,12,0,8.48528137423857,6.0,0,153
ANGELO SERVIDIO,RESIST ARR/ELUD-PREVENTS OFFIC,0.0,1,0,0,0,,0.0,0,12.0,1,12,12,12,,12.0,12,154
ANGELO SERVIDIO,RESIST ARR/ELUD-USE/THREATEN F,0.0,1,0,0,0,,0.0,0,24.0,1,24,24,24,,24.0,24,155
ANGELO SERVIDIO,RESISTING ARREST-PURPOSELY,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,156
ANGELO SERVIDIO,ROBBERY-INFLICTS BI OR USES FO,1825.0,1,1825,1825,1825,,1825.0,1825,0.0,1,0,0,0,,0.0,0,157
ANGELO SERVIDIO,SEXUAL ASSAULT-VIC < 13 & DEF,2555.0,1,2555,2555,2555,,2555.0,2555,0.0,1,0,0,0,,0.0,0,158
ANGELO SERVIDIO,SIMPLE ASSAULT-PURPOSELY/KNOWI,0.0,1,0,0,0,,0.0,0,0.0,1,0,0,0,,0.0,0,159
ANGELO SERVIDIO,SPECIAL SENTENCE PSL/CSL - VIO,0.0,2,0,0,0,0.0,0.0,0,0.0,2,0,0,0,0.0,0.0,0,160
ANGELO SERVIDIO,TAMPERING WITH RECORDS-DESTROY,364.0,1,364,364,364,,364.0,364,18.0,1,18,18,18,,18.0,18,161
ANGELO SERVIDIO,TERRORISTIC THREATS-THREAT TO,0.0,3,0,0,0,0.0,0.0,0,24.0,3,72,36,18,10.392304845413264,18.0,18,162
ANGELO SERVIDIO,THEFT BY UNLAWFL TAKNG-MOVABLE,1460.0,1,1460,1460,1460,,1460.0,1460,0.0,1,0,0,0,,0.0,0,163
